Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Prolactin signaling pathway	31/70	3.178571e-01	9.999969e-01	0	0	1.152730e+00	1.321206e+00	SHC3;SRC;PIK3CB;TNFRSF11A;FOXO3;MAPK8;NRAS;SOCS1;AKT2;AKT3;AKT1;HRAS;SOCS4;MAPK3;MAP2K2;STAT1;STAT3;FOS;MAPK14;PRLR;ESR1;ESR2;MAPK12;NFKB1;MAPK13;PIK3CA;TH;IRF1;GRB2;RAF1;SOS1
KEGG_2021_Human	Lysine degradation	28/63	3.217597e-01	9.999969e-01	0	0	1.160133e+00	1.315533e+00	KMT2E;PRDM7;GCDH;KMT2D;KMT2A;PRDM6;KMT2B;EHMT1;PLOD3;DLST;PLOD2;PRDM2;DHTKD1;MECOM;NSD1;NSD2;KMT5B;SMYD3;SETDB1;PHYKPL;AADAT;SETD1A;SETDB2;SETMAR;ASH1L;ALDH3A2;DLD;EZH2
KEGG_2021_Human	Nucleotide excision repair	21/47	3.456711e-01	9.999969e-01	0	0	1.171174e+00	1.244100e+00	RFC3;PCNA;RFC4;LIG1;CCNH;RFC2;XPA;RPA2;RAD23A;RAD23B;DDB2;POLD3;CUL4A;DDB1;POLE4;ERCC4;ERCC1;ERCC5;MNAT1;POLE;CUL4B
KEGG_2021_Human	HIF-1 signaling pathway	47/109	3.461494e-01	9.999969e-01	0	0	1.099371e+00	1.166306e+00	CAMK2B;PFKFB3;CDKN1B;FLT1;TFRC;SLC2A1;ENO1;PIK3CB;HIF1A;HK2;IGF1R;HK1;LDHA;AKT2;AKT3;PGK1;PLCG2;AKT1;PLCG1;ELOC;VHL;IL6R;CAMK2G;EIF4E;PDK1;MAPK3;PRKCG;CREBBP;EDN1;EGLN3;MAP2K2;NOS3;INSR;STAT3;ARNT;NFKB1;TF;PIK3CA;RPS6KB1;ALDOC;ALDOB;LTBR;ALDOA;EIF4E2;GAPDH;PFKM;PFKP
KEGG_2021_Human	Growth hormone synthesis, secretion and action	51/119	3.580928e-01	9.999969e-01	0	0	1.087657e+00	1.116984e+00	IRS1;PIK3CB;CREB3L3;AKT2;AKT3;AKT1;PRKACA;HRAS;MAP2K3;PRKCG;GHSR;MAP2K2;FOS;ADCY9;CREB1;PLCB4;PIK3CA;RAF1;PLCB1;SOS1;ATF4;SHC3;ITPR1;ADCY4;ITPR2;ADCY3;CACNA1D;ITPR3;ADCY2;CACNA1C;ADCY6;GNAI1;ADCY5;GNAI2;MAPK8;NRAS;SOCS1;PLCG2;CACNA1S;PLCG1;MAPK3;CREBBP;STAT1;STAT3;MAPK14;PTK2;MAPK12;MAPK13;GNAS;GRB2;BCAR1
KEGG_2021_Human	Neurotrophin signaling pathway	51/119	3.580928e-01	9.999969e-01	0	0	1.087657e+00	1.116984e+00	CALML5;IRS1;ARHGDIG;PIK3CB;RPS6KA3;RPS6KA6;RPS6KA5;AKT2;AKT3;AKT1;RAC1;HRAS;MAP3K5;MAP2K2;RIPK2;GAB1;FRS2;PIK3CA;RAPGEF1;RAF1;SOS1;ATF4;CAMK2B;ZNF274;SHC3;PSEN1;FOXO3;MAPK8;NRAS;IRAK1;ABL1;PLCG2;PLCG1;CAMK2G;SH2B3;MAPK3;SH2B1;NTRK2;NTRK3;BRAF;PTPN11;MAPK14;NFKB1;MAPK12;MAPK13;NFKBIA;CALM3;GRB2;CALM1;CALM2;TP73
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	23/53	4.016243e-01	9.999969e-01	0	0	1.111582e+00	1.014028e+00	PRKCG;VDR;CLTC;CLTB;ATP2B4;ATP2B2;ATP1A1;ATP2B1;ATP1B1;ESR1;ADCY6;SLC8A2;DNM2;DNM3;CALB1;ADCY9;PLCB4;CLTCL1;BDKRB2;GNAS;PRKACA;PLCB1;AP2M1
KEGG_2021_Human	Fc epsilon RI signaling pathway	29/68	4.247626e-01	9.999969e-01	0	0	1.078095e+00	9.230922e-01	PIK3CB;MAPK8;NRAS;AKT2;INPP5D;AKT3;PLCG2;AKT1;RAC3;RAC1;PLCG1;HRAS;MAPK3;MAP2K3;VAV3;LYN;MAP2K2;PLA2G4D;GAB2;MAPK14;VAV1;MAPK12;VAV2;MAPK13;PIK3CA;ALOX5AP;GRB2;RAF1;SOS1
KEGG_2021_Human	ErbB signaling pathway	36/85	4.273975e-01	9.999969e-01	0	0	1.065211e+00	9.054731e-01	CAMK2B;CDKN1B;SHC3;SRC;TGFA;PIK3CB;MAPK8;NRAS;ERBB3;ERBB4;AKT2;MYC;AKT3;ABL1;PLCG2;AKT1;PAK6;PLCG1;HRAS;CAMK2G;PAK2;MAPK3;PAK4;PRKCG;MAP2K2;GAB1;BRAF;PTK2;EREG;NRG3;PIK3CA;RPS6KB1;NRG4;GRB2;RAF1;SOS1
KEGG_2021_Human	Inositol phosphate metabolism	31/73	4.311866e-01	9.999969e-01	0	0	1.070120e+00	9.002004e-01	IPPK;MTMR1;INPPL1;PTEN;PIK3CB;PIK3C2B;INPP5A;IMPA1;INPP5F;INPP5D;INPP5E;INPP5J;PLCG2;PIP4K2A;PLCE1;PIP4K2B;PLCG1;SACM1L;ITPK1;OCRL;INPP4A;ITPKB;FIG4;INPP4B;PLCB4;PIK3CA;SYNJ1;PI4KA;PLCH1;PLCB1;PLCD3
